brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,clean_title,price,horsepower,displacement,cylinders,turbo,transmission_type,gears,sales_price_log
Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,Black,Black,At least 1 accident or damage reported,Yes,10300,300.0,3.7,6.0,False,Automatic,6.0,4.012837224705172
Hyundai,Palisade SEL,2021,34742,Gasoline,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005,,3.8,6.0,False,Automatic,8.0,4.579840736868443
Lexus,RX 350 RX 350,2022,22372,Gasoline,Blue,Black,None reported,,54598,,3.5,,False,Automatic,,4.73717673419059
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,Black,Black,None reported,Yes,15500,354.0,3.5,6.0,False,Automatic,7.0,4.190331698170292
Audi,Q3 45 S line Premium Plus,2021,9835,Gasoline,Glacier White Metallic,Black,None reported,,34999,,2.0,4.0,True,Automatic,8.0,4.54405563575924
Acura,ILX 2.4L,2016,136397,Gasoline,Silver,Ebony.,None reported,,14798,,2.4,,False,,,4.170203022985664
Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,Blue,Black,None reported,Yes,31000,292.0,2.0,4.0,False,Automatic,6.0,4.491361693834273
BMW,740 iL,2001,242000,Gasoline,Green,Green,None reported,Yes,7300,282.0,4.4,8.0,False,Automatic,,3.863322860120456
Lexus,RC 350 F Sport,2021,23436,Gasoline,Black,Black,None reported,Yes,41927,311.0,3.5,6.0,False,Automatic,6.0,4.62249378846946
Tesla,Model X Long Range Plus,2020,34000,,Black,Black,None reported,Yes,69950,534.0,,,False,Automatic,,4.844787718827846
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Gasoline,Fuji White,Pimento / Ebony,None reported,,73897,,,6.0,False,Automatic,,4.868626807679102
Aston,Martin DBS Superleggera,2019,22770,Gasoline,Silver,Black,None reported,Yes,184606,715.0,5.2,12.0,False,Automatic,8.0,5.2662458122074725
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,Yellow,Black,None reported,Yes,53500,382.0,3.0,6.0,False,Automatic,,4.7283537820212285
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,Black,Brown,None reported,Yes,62000,400.0,3.0,6.0,False,,,4.7923916894982534
Jaguar,F-TYPE,2020,15903,Gasoline,Silver,Black,None reported,,47998,,2.0,,False,Automatic,,4.681223141395172
Land,Rover LR4 HSE,2013,79800,Gasoline,White,Black,None reported,Yes,29990,375.0,5.0,8.0,False,Automatic,,4.4769764657595275
Mercedes-Benz,Metris Base,2021,1685,Gasoline,Gray,White,None reported,Yes,250000,,2.0,4.0,True,Automatic,9.0,5.3979400086720375
Dodge,Challenger SXT,2013,61074,Gasoline,Black,Gray,None reported,Yes,16800,305.0,3.6,6.0,False,Automatic,,4.225309281725863
Nissan,350Z Enthusiast,2003,74000,Gasoline,Purple,–,None reported,Yes,11000,287.0,3.5,6.0,False,Manual,6.0,4.041392685158225
Jaguar,F-TYPE R,2018,35250,Gasoline,Green,Black,None reported,Yes,68750,550.0,5.0,8.0,False,Automatic,8.0,4.8372727025023
Genesis,GV70 3.5T Sport,2023,5400,Gasoline,Green,Beige,,,60000,375.0,3.5,6.0,False,Automatic,8.0,4.778151250383644
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,Blue,Black,None reported,Yes,4500,120.0,2.2,4.0,False,Automatic,,3.6532125137753435
BMW,440 Gran Coupe 440i xDrive,2020,25990,Gasoline,White,Beige,None reported,,38598,,3.0,,True,Automatic,,4.586564801784012
Ford,F-150 XLT,2023,2823,Gasoline,Iconic Silver Metallic,Black,None reported,Yes,58504,,3.5,6.0,True,Automatic,,4.767185560416191
Chevrolet,Suburban RST,2021,52000,Gasoline,Blue,Black,None reported,Yes,61000,355.0,5.3,8.0,False,Automatic,10.0,4.785329835010767
Hyundai,Elantra N Base,2022,11650,Gasoline,Black,Black,None reported,Yes,32300,276.0,2.0,4.0,False,,,4.509202522331103
Nissan,Sentra SR,2016,96541,Gasoline,Blue,Black,None reported,,13998,,1.8,,False,Automatic,,4.146065989177396
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,Gray,Black,None reported,Yes,59995,382.0,2.0,4.0,False,Automatic,,4.778115057668767
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,Gray,Black,None reported,Yes,25700,445.0,4.4,8.0,False,Automatic,8.0,4.409933123331294
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,Mythos Black Metallic,Black,None reported,Yes,21375,,2.0,4.0,True,Automatic,8.0,4.32990612340021
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,Silver,Black,None reported,Yes,48000,362.0,3.0,6.0,False,Automatic,9.0,4.681241237375588
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Gasoline,Silver,Gray,At least 1 accident or damage reported,Yes,10900,345.0,5.7,8.0,False,Automatic,,4.037426497940624
BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,Black,Black,None reported,,24998,,,,False,Automatic,,4.397905263723669
Kia,Sorento SX,2011,171000,Gasoline,Black,Black,None reported,Yes,5999,276.0,3.5,6.0,False,Automatic,,3.778078861937455
Lexus,LX 570 Base,2016,118700,Gasoline,Black,Beige,None reported,Yes,46900,383.0,5.7,8.0,False,Automatic,8.0,4.671172842715083
Jeep,New Compass Trailhawk,2017,119000,Gasoline,Red,Black,None reported,Yes,15900,180.0,2.4,4.0,False,Automatic,,4.201397124320452
BMW,340 i,2018,44261,Gasoline,Gray,Black,None reported,,33598,,3.0,,True,Automatic,,4.526313425758425
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,Silver,Black,None reported,Yes,8999,211.0,2.0,4.0,False,Automatic,8.0,3.9541942518158626
Hyundai,Tucson SE,2007,16200,Gasoline,Gold,Beige,None reported,Yes,8200,173.0,2.7,6.0,False,Automatic,,3.9138138523837167
BMW,Z4 sDrive28i,2014,70000,Gasoline,White,Beige,At least 1 accident or damage reported,Yes,20000,240.0,2.0,4.0,False,Automatic,,4.301029995663981
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,Black,Black,None reported,Yes,79950,552.0,6.0,12.0,False,Automatic,6.0,4.902818468082254
Honda,Passport Elite,2023,2978,Gasoline,Lunar Silver Metallic,Gray,None reported,,45498,,3.5,,False,Automatic,,4.657992306370206
Dodge,Sprinter 2500,2007,189719,Diesel,White,Gray,At least 1 accident or damage reported,Yes,14000,,3.0,6.0,False,Automatic,5.0,4.146128035678238
BMW,M850 i xDrive,2019,9949,Gasoline,Blue,Black,None reported,,75798,,4.4,,True,Automatic,,4.879657746523571
Lucid,Air Grand Touring,2022,3552,,Red,Beige,None reported,Yes,119999,536.0,,,False,Automatic,1.0,5.0791776269118625
Audi,A7 Premium,2012,54000,Gasoline,Black,Brown,At least 1 accident or damage reported,Yes,36880,310.0,3.0,6.0,False,Automatic,8.0,4.566790912381592
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,Black,Jet Black,None reported,Yes,43147,,5.3,8.0,False,Automatic,,4.63495060471544
MINI,Convertible John Cooper Works,2017,24280,Gasoline,Black,Black,At least 1 accident or damage reported,Yes,29000,228.0,2.0,4.0,False,Automatic,6.0,4.462397997898956
Toyota,Avalon Touring,2016,89148,Gasoline,Black,Black,None reported,Yes,17500,268.0,3.5,6.0,False,Automatic,,4.243038048686294
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,White,Black,None reported,Yes,30990,300.0,3.6,6.0,False,Automatic,8.0,4.491221576239283
Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,52500,503.0,4.0,8.0,False,,,4.720159303405957
Honda,CR-V EX-L,2016,73549,Gasoline,Mountain Air Metallic,Black,At least 1 accident or damage reported,,20848,,2.4,4.0,False,Automatic,,4.31906439836851
Hummer,H2 Base,2005,110900,Gasoline,Gray,Black,None reported,Yes,19500,325.0,6.0,8.0,False,Automatic,,4.290034611362518
Porsche,911 Carrera S,2013,39000,Gasoline,Blue,Black,None reported,Yes,73000,400.0,3.8,6.0,False,Automatic,7.0,4.863322860120456
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,Black,Black,None reported,Yes,19800,208.0,2.0,4.0,False,,,4.296665190261531
Chrysler,300 Touring,2009,134602,Gasoline,Blue,Black,None reported,Yes,7500,250.0,3.5,6.0,False,,,3.8750612633917
Nissan,Rogue SV,2023,1094,Gasoline,Caspian Blue,Light Gray,None reported,,30999,,1.5,3.0,True,Automatic,,4.4913476841088915
Audi,A3 2.0T,2010,83500,Gasoline,Silver,Black,None reported,Yes,6500,200.0,2.0,4.0,False,,,3.8129133566428557
Ford,Mustang GT Premium,2014,37060,Gasoline,Black,Black,None reported,Yes,28500,420.0,5.0,8.0,False,Manual,6.0,4.45484486000851
Acura,RL Technology,2010,97700,Gasoline,Blue,Beige,None reported,Yes,10995,300.0,3.7,6.0,False,,,4.0411952336968096
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,Black,Black,None reported,Yes,42000,400.0,2.0,4.0,False,,,4.623249290397901
Audi,R8 5.2 V10,2018,8940,Gasoline,Tango Red Metallic,Black,None reported,,144900,,5.2,10.0,False,Automatic,7.0,5.161068385471174
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,Black,Beige,At least 1 accident or damage reported,Yes,10000,302.0,3.5,6.0,False,Automatic,,4.0
Toyota,C-HR LE,2021,13180,Gasoline,–,–,None reported,,23998,,2.0,,False,,,4.38017504899673
Lexus,IS 350 Base,2014,104000,Gasoline,Black,Black,None reported,Yes,21000,306.0,3.5,6.0,False,Automatic,8.0,4.3222192947339195
BMW,X4 M40i,2023,8500,Hybrid,Gray,Beige,None reported,Yes,67900,382.0,3.0,6.0,False,,,4.831869774280501
BMW,M4 CS,2019,19069,Gasoline,Alpine White,Anthracite,None reported,,69998,,3.0,,True,Automatic,,4.845085631423221
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,White,Beige,None reported,Yes,46900,237.0,2.0,4.0,False,Automatic,,4.671172842715083
Lucid,Air Grand Touring,2022,4900,,Red,Black,None reported,Yes,99000,536.0,,,False,Automatic,1.0,4.99563519459755
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,Black,Black,None reported,Yes,31000,248.0,2.0,4.0,False,,,4.491361693834273
Chrysler,300C SRT8,2006,43000,Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,19995,425.0,6.1,8.0,False,Automatic,5.0,4.300921408469541
