Feature,Importance
num__milage,0.4713075291031345
num__horsepower,0.24348721858721367
num__model_year,0.12868438683875474
num__displacement,0.02209015116904918
num__gears,0.017801774375540605
cat__brand_Porsche,0.01610648378257624
num__cylinders,0.014312628074508034
cat__fuel_type_Diesel,0.005229783091354972
cat__brand_Mercedes-Benz,0.004816587598764434
cat__brand_Lamborghini,0.004431446659166884
cat__ext_col_Black,0.002442827272407943
cat__int_col_Black,0.0023626171715704198
num__turbo,0.0021042944383943053
cat__transmission_type_Manual,0.0018806887240172122
cat__brand_BMW,0.0018777513885090613
cat__ext_col_Silver,0.001869912442405687
cat__int_col_Gray,0.0018178709051430526
cat__brand_Toyota,0.0018006678708496439
cat__fuel_type_Gasoline,0.0017321180067546833
cat__accident_None reported,0.001665083507991801
cat__ext_col_White,0.001654609983062846
cat__brand_Cadillac,0.0016456216267847284
cat__accident_At least 1 accident or damage reported,0.0016189879786465704
cat__int_col_Beige,0.0015760042771174039
cat__brand_Lexus,0.001573405009757259
cat__brand_Bentley,0.0015726419371608741
cat__brand_Rolls-Royce,0.0014824537557304083
cat__ext_col_Gray,0.0013708573326576545
cat__brand_Chrysler,0.001348336551289133
cat__ext_col_Blue,0.001331655830751081
cat__brand_Honda,0.001284643880328034
cat__brand_Ferrari,0.0012800724638256308
cat__brand_Ford,0.0012380959794424577
cat__brand_Dodge,0.0011809948381980445
cat__brand_RAM,0.001148037795189733
cat__transmission_type_Automatic,0.001111414746262566
cat__brand_Nissan,0.001088291804365701
cat__brand_Land,0.0010701243719205985
cat__brand_Chevrolet,0.000982945858181368
cat__brand_Hyundai,0.0009585187328995875
cat__ext_col_Red,0.0009532694465321554
cat__brand_Jeep,0.0009114517302409237
cat__transmission_type_nan,0.0008535739992095706
cat__brand_Lincoln,0.0008404654929876012
cat__int_col_Brown,0.0008042962772822896
cat__clean_title_nan,0.0007485255695866189
cat__clean_title_Yes,0.0007404622887883682
cat__brand_Mitsubishi,0.0006941687941163507
cat__int_col_Brandy,0.000679944542217139
cat__fuel_type_nan,0.0006616419161191969
cat__int_col_–,0.0006561655357440558
cat__brand_Maserati,0.0006442810582436383
cat__brand_Jaguar,0.0006100894430669115
cat__ext_col_Matte White,0.000589656235586516
cat__ext_col_Beige,0.0005838340708250422
cat__int_col_White,0.0005811595202196579
cat__fuel_type_E85 Flex Fuel,0.0005636217413928928
cat__fuel_type_Hybrid,0.0005285853665764625
cat__int_col_Red,0.0005223776830137228
cat__accident_nan,0.0005180055983581669
cat__brand_Audi,0.0004765842746934254
cat__ext_col_Iridium Silver Metallic,0.00046201473420900594
cat__ext_col_Green,0.00044380478448842296
cat__brand_Acura,0.000442722327860586
cat__ext_col_Brown,0.0004291632094542884
cat__brand_Pontiac,0.0004209548446252758
cat__ext_col_Gold,0.0004054984481948297
cat__brand_GMC,0.0003978623816074206
cat__brand_Mazda,0.00038430473104996847
cat__brand_Volkswagen,0.0003516306117485611
cat__brand_INFINITI,0.0003372787226406036
cat__ext_col_–,0.00032817362022072327
cat__brand_Hummer,0.0003103861804311707
cat__brand_McLaren,0.00030893457242772254
cat__int_col_Nero Ade,0.00029055360769894383
cat__brand_Kia,0.00028539311691265805
cat__int_col_Orange,0.0002618889966420605
cat__brand_Subaru,0.00024743847511557053
cat__ext_col_Orange,0.00024127087950366862
cat__brand_Volvo,0.00020794366015805963
cat__ext_col_Yellow,0.00019040063348249722
cat__ext_col_China Blue,0.0001864005733200162
cat__brand_Aston,0.0001567392664566106
cat__ext_col_Tempest,0.0001524196716534582
cat__brand_Tesla,0.00014801209668442887
cat__int_col_Ebony,0.0001450511733535592
cat__int_col_Tan,0.0001409846573110825
cat__brand_Buick,0.00013330273125401518
cat__int_col_Black / Brown,0.0001299907209730054
cat__int_col_Blue,0.0001250546773012119
cat__ext_col_Blue Caelum,0.00012265331360988214
cat__int_col_Cobalt Blue,0.00011942450622285162
cat__brand_MINI,0.00011828447006432101
cat__int_col_Linen,0.0001065269672596274
cat__fuel_type_Plug-In Hybrid,9.622553736133966e-05
cat__brand_Alfa,8.23528895466976e-05
cat__int_col_Silver,7.408509700809366e-05
cat__int_col_Jet Black,7.254717082539481e-05
cat__ext_col_Oxford White,7.247590290409478e-05
cat__brand_Genesis,7.23443590901436e-05
cat__ext_col_Brilliant Silver Metallic,7.068354377401471e-05
cat__ext_col_Super Black,6.513181219892706e-05
cat__ext_col_Dark Sapphire,5.4462263779260256e-05
cat__ext_col_designo Diamond White Metallic,5.346467697966468e-05
cat__ext_col_Dark Gray Metallic,5.0261866214066775e-05
